store_id,name,region,created_at
STR_001,RestockMart #001 (Northeast),Northeast,2026-08-29 09:28:03
STR_002,RestockMart #002 (Southeast),Southeast,2026-08-29 09:28:03
STR_003,RestockMart #003 (Midwest),Midwest,2026-08-29 09:28:03
STR_004,RestockMart #004 (Southwest),Southwest,2026-08-29 09:28:03
STR_005,RestockMart #005 (West),West,2026-08-29 09:28:03
STR_006,RestockMart #006 (Northeast),Northeast,2026-08-29 09:28:03
STR_007,RestockMart #007 (Southeast),Southeast,2026-08-29 09:28:03
STR_008,RestockMart #008 (Midwest),Midwest,2026-08-29 09:28:03
STR_009,RestockMart #009 (Southwest),Southwest,2026-08-29 09:28:03
STR_010,RestockMart #010 (West),West,2026-08-29 09:28:03
STR_011,RestockMart #011 (Northeast),Northeast,2026-08-29 09:28:03
STR_012,RestockMart #012 (Southeast),Southeast,2026-08-29 09:28:03
STR_013,RestockMart #013 (Midwest),Midwest,2026-08-29 09:28:03
STR_014,RestockMart #014 (Southwest),Southwest,2026-08-29 09:28:03
STR_015,RestockMart #015 (West),West,2026-08-29 09:28:03
STR_016,RestockMart #016 (Northeast),Northeast,2026-08-29 09:28:03
STR_017,RestockMart #017 (Southeast),Southeast,2026-08-29 09:28:03
STR_018,RestockMart #018 (Midwest),Midwest,2026-08-29 09:28:03
STR_019,RestockMart #019 (Southwest),Southwest,2026-08-29 09:28:03
STR_020,RestockMart #020 (West),West,2026-08-29 09:28:03
STR_021,RestockMart #021 (Northeast),Northeast,2026-08-29 09:28:03
STR_022,RestockMart #022 (Southeast),Southeast,2026-08-29 09:28:03
STR_023,RestockMart #023 (Midwest),Midwest,2026-08-29 09:28:03
STR_024,RestockMart #024 (Southwest),Southwest,2026-08-29 09:28:03
STR_025,RestockMart #025 (West),West,2026-08-29 09:28:03
STR_026,RestockMart #026 (Northeast),Northeast,2026-08-29 09:28:03
STR_027,RestockMart #027 (Southeast),Southeast,2026-08-29 09:28:03
STR_028,RestockMart #028 (Midwest),Midwest,2026-08-29 09:28:03
STR_029,RestockMart #029 (Southwest),Southwest,2026-08-29 09:28:03
STR_030,RestockMart #030 (West),West,2026-08-29 09:28:03
STR_031,RestockMart #031 (Northeast),Northeast,2026-08-29 09:28:03
STR_032,RestockMart #032 (Southeast),Southeast,2026-08-29 09:28:03
STR_033,RestockMart #033 (Midwest),Midwest,2026-08-29 09:28:03
STR_034,RestockMart #034 (Southwest),Southwest,2026-08-29 09:28:03
STR_035,RestockMart #035 (West),West,2026-08-29 09:28:03
STR_036,RestockMart #036 (Northeast),Northeast,2026-08-29 09:28:03
STR_037,RestockMart #037 (Southeast),Southeast,2026-08-29 09:28:03
STR_038,RestockMart #038 (Midwest),Midwest,2026-08-29 09:28:03
STR_039,RestockMart #039 (Southwest),Southwest,2026-08-29 09:28:03
STR_040,RestockMart #040 (West),West,2026-08-29 09:28:03
STR_041,RestockMart #041 (Northeast),Northeast,2026-08-29 09:28:03
STR_042,RestockMart #042 (Southeast),Southeast,2026-08-29 09:28:03
STR_043,RestockMart #043 (Midwest),Midwest,2026-08-29 09:28:03
STR_044,RestockMart #044 (Southwest),Southwest,2026-08-29 09:28:03
STR_045,RestockMart #045 (West),West,2026-08-29 09:28:03
STR_046,RestockMart #046 (Northeast),Northeast,2026-08-29 09:28:03
STR_047,RestockMart #047 (Southeast),Southeast,2026-08-29 09:28:03
STR_048,RestockMart #048 (Midwest),Midwest,2026-08-29 09:28:03
STR_049,RestockMart #049 (Southwest),Southwest,2026-08-29 09:28:03
STR_050,RestockMart #050 (West),West,2026-08-29 09:28:03
